"Model name","EStructuralFeature count","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"sample1.json","240","0","99","141","172","0"
"missingResource.json","187","0","78","109","135","0"
"sample3f.json","862","0","302","560","645","0"
"sample1f.json","237","0","98","139","170","0"
"sample3.json","862","0","302","560","645","0"
"sample2.json","191","0","82","109","136","0"
"sample2f.json","174","0","74","100","124","0"
"missingResource2.json","184","0","77","107","133","0"
"missingResource3.json","216","0","89","127","156","0"
